                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.40681,                0.50363,                0.99142,                0.97818,                0.97932,                0.98641,                0.93154,                 0.3843,                0.42087,                0.91587,               0.000467,               0.000467,               0.000467
                     37,                0.38714,                0.48863,                0.98029,                0.98407,                0.96623,                0.98819,                 0.9475,                0.33478,                0.41271,                0.89424,              0.0004387,              0.0004387,              0.0004387
                     38,                0.36396,                0.45471,                0.99383,                0.97139,                0.98941,                0.98949,                0.93935,                0.31374,                0.37968,                0.88803,             0.00041041,             0.00041041,             0.00041041
                     39,                0.36967,                0.47263,                0.94626,                0.97231,                0.98965,                0.98741,                0.93704,                0.33044,                0.37155,                0.88442,             0.00038211,             0.00038211,             0.00038211
                     40,                0.36288,                0.48612,                0.97022,                0.97604,                0.99083,                0.98725,                0.94031,                0.32358,                0.36878,                0.87072,             0.00035382,             0.00035382,             0.00035382
                     41,                0.31109,                0.53008,                0.95875,                0.98348,                0.98918,                0.98598,                0.93927,                0.33341,                0.39215,                0.87897,             0.00032553,             0.00032553,             0.00032553
                     42,                0.28391,                0.49994,                0.95546,                0.97944,                0.98882,                 0.9831,                0.94325,                 0.3296,                 0.3972,                0.90156,             0.00029723,             0.00029723,             0.00029723
                     43,                0.31664,                0.48321,                0.94438,                 0.9811,                0.98968,                 0.9866,                0.95161,                 0.3264,                0.36525,                0.87517,             0.00026894,             0.00026894,             0.00026894
                     44,                0.30249,                0.44762,                0.95154,                0.97176,                0.99123,                0.98801,                0.95483,                0.30972,                0.35588,                0.84795,             0.00024064,             0.00024064,             0.00024064
                     45,                0.29572,                0.45547,                0.92299,                0.97132,                0.98458,                0.98869,                0.95828,                0.29405,                0.36566,                0.84193,             0.00021235,             0.00021235,             0.00021235
                     46,                0.26367,                0.43579,                0.89912,                 0.9785,                0.97539,                0.98806,                0.96077,                0.28367,                0.35005,                0.84243,             0.00018406,             0.00018406,             0.00018406
                     47,                 0.2629,                0.40803,                0.91655,                0.97029,                0.98216,                0.98848,                0.96283,                 0.2783,                0.33813,                 0.8312,             0.00015576,             0.00015576,             0.00015576
                     48,                0.24579,                0.39701,                0.92437,                0.97031,                0.98546,                0.98851,                0.96771,                0.25368,                0.32675,                0.81059,             0.00012747,             0.00012747,             0.00012747
                     49,                0.26923,                0.42378,                0.94868,                 0.9721,                0.98623,                0.98868,                0.96787,                0.24504,                0.32535,                0.80737,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.23747,                  0.395,                0.91056,                0.97246,                 0.9871,                0.98891,                0.96832,                0.24223,                0.32036,                0.80524,             7.0878e-05,             7.0878e-05,             7.0878e-05
