                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69711,                 2.9511,                 1.2413,                0.00474,                0.98246,                0.65874,                0.55151,                0.40514,                 2.8454,                0.96906,             0.00018577,             0.00018577,             0.00018577
                      2,                0.64019,                 1.7318,                 1.1661,                      1,                0.08451,                0.73141,                0.59708,                0.52284,                 2.5416,                 1.0811,             0.00038201,             0.00038201,             0.00038201
                      3,                0.58302,                 1.2983,                 1.1352,                0.80507,                0.73419,                0.93108,                0.74237,                0.62199,                 1.9157,                 1.3132,             0.00057429,             0.00057429,             0.00057429
                      4,                0.64605,                 1.2532,                 1.1396,                 0.6107,                0.64218,                0.74627,                0.49354,                0.84664,                 1.9797,                  1.371,             0.00076261,             0.00076261,             0.00076261
                      5,                0.64391,                 1.1299,                 1.1067,                 0.7881,                 0.5694,                0.72904,                0.58295,                0.97576,                 1.5892,                  1.634,             0.00094696,             0.00094696,             0.00094696
                      6,                0.65791,                 1.1461,                 1.1502,                0.94818,                0.82424,                0.92092,                0.78147,                0.64044,                 1.3488,                 1.1667,              0.0011274,              0.0011274,              0.0011274
                      7,                0.64036,                 1.0837,                 1.1326,                0.89932,                0.85806,                0.90431,                0.78023,                0.68501,                 1.2629,                 1.1901,              0.0013038,              0.0013038,              0.0013038
                      8,                0.62982,                 1.0666,                 1.1344,                0.71116,                 0.7713,                0.78052,                0.57117,                0.76358,                 1.4281,                 1.2832,                0.00133,                0.00133,                0.00133
                      9,                0.62278,                 1.0207,                  1.114,                0.98343,                0.84132,                0.92332,                0.74528,                0.74154,                 1.4561,                 1.3309,                0.00133,                0.00133,                0.00133
                     10,                0.65351,                0.93649,                 1.1116,                0.87787,                0.90023,                0.94739,                0.70453,                0.73825,                 1.4627,                 1.2902,              0.0013158,              0.0013158,              0.0013158
                     11,                0.62011,                0.91039,                 1.0963,                0.89277,                 0.9465,                0.96704,                0.79308,                0.59547,                 1.1995,                 1.1139,              0.0013017,              0.0013017,              0.0013017
                     12,                0.63438,                0.90633,                 1.1076,                0.93025,                0.88485,                0.95921,                0.67217,                0.88812,                 1.4013,                 1.3784,              0.0012875,              0.0012875,              0.0012875
                     13,                 0.6098,                0.84812,                 1.0802,                0.94159,                0.86175,                0.95279,                0.80461,                0.66924,                 1.1451,                 1.1546,              0.0012734,              0.0012734,              0.0012734
                     14,                0.60899,                0.82779,                 1.1134,                0.95888,                0.95189,                0.97242,                 0.8397,                0.64673,                  0.915,                 1.2112,              0.0012592,              0.0012592,              0.0012592
                     15,                0.57693,                0.79302,                 1.0774,                0.94109,                0.95287,                0.97044,                0.82024,                0.54237,                0.93405,                 1.0595,              0.0012451,              0.0012451,              0.0012451
                     16,                0.64173,                0.79385,                 1.1183,                0.94357,                0.94987,                0.96629,                0.80505,                0.58315,                 0.9872,                 1.1776,              0.0012309,              0.0012309,              0.0012309
                     17,                0.57677,                0.76114,                  1.094,                0.89978,                0.96298,                0.96961,                0.79722,                0.63044,                 1.0563,                  1.167,              0.0012168,              0.0012168,              0.0012168
