                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                0.59425,                0.76603,                 1.0818,                0.96719,                0.97095,                0.98222,                0.86647,                0.53798,                0.90345,                 1.1219,              0.0012026,              0.0012026,              0.0012026
                     19,                0.59622,                0.71515,                 1.0838,                0.94706,                0.97932,                0.97599,                0.85329,                0.54913,                0.83349,                 1.0417,              0.0011885,              0.0011885,              0.0011885
                     20,                0.56483,                0.69856,                 1.0728,                0.97736,                0.97055,                0.98516,                0.88391,                0.49835,                0.71477,                 1.0177,              0.0011744,              0.0011744,              0.0011744
                     21,                0.58739,                0.65676,                 1.1049,                0.94875,                0.99123,                0.98845,                0.89031,                0.45053,                0.69134,                 1.0222,              0.0011602,              0.0011602,              0.0011602
                     22,                0.55344,                0.64815,                 1.0846,                0.83614,                0.97055,                0.91922,                0.76958,                0.50967,                0.76096,                 1.0626,              0.0011461,              0.0011461,              0.0011461
                     23,                0.52856,                0.64974,                 1.0445,                0.90557,                0.93405,                0.95634,                0.85126,                0.48873,                0.77529,                 1.0084,              0.0011319,              0.0011319,              0.0011319
                     24,                0.51652,                0.62516,                 1.0599,                0.93374,                0.90709,                0.95996,                0.83699,                0.55291,                0.70287,                 1.0829,              0.0011178,              0.0011178,              0.0011178
                     25,                0.52178,                0.61949,                 1.0545,                0.96563,                0.97932,                0.98054,                0.83668,                0.55858,                0.64462,                 1.0502,              0.0011036,              0.0011036,              0.0011036
                     26,                0.56117,                 0.6559,                 1.0776,                0.96837,                0.96042,                0.98237,                0.86572,                0.52657,                 0.5478,                 1.0094,              0.0010895,              0.0010895,              0.0010895
                     27,                0.50737,                 0.6094,                 1.0417,                0.97091,                 0.9598,                0.98326,                0.87953,                0.50496,                0.56481,                 1.0181,              0.0010753,              0.0010753,              0.0010753
                     28,                0.51754,                0.61057,                 1.0557,                0.90917,                0.94769,                0.98028,                0.87681,                  0.512,                0.64004,                 1.0827,              0.0010612,              0.0010612,              0.0010612
                     29,                0.52897,                 0.5872,                 1.0406,                0.91794,                0.87367,                0.97202,                0.85678,                0.54727,                 0.8068,                 1.0725,               0.001047,               0.001047,               0.001047
                     30,                0.49467,                0.56591,                 1.0458,                0.95011,                0.95435,                0.97955,                0.88947,                0.51756,                0.62213,                 1.0134,              0.0010329,              0.0010329,              0.0010329
                     31,                0.47666,                 0.5584,                 1.0304,                0.94191,                0.92427,                0.98043,                 0.8922,                0.51334,                0.62247,                  1.045,              0.0010187,              0.0010187,              0.0010187
                     32,                0.48245,                0.53012,                  1.025,                0.95198,                0.97715,                0.98623,                0.90768,                0.44309,                0.54748,                0.95854,              0.0010046,              0.0010046,              0.0010046
                     33,                0.45843,                0.52468,                 1.0135,                0.97438,                0.97774,                0.98615,                 0.8961,                 0.4605,                0.52463,                0.97345,             0.00099044,             0.00099044,             0.00099044
                     34,                0.47045,                 0.5421,                 1.0084,                0.95047,                0.98246,                0.98417,                0.88188,                0.43822,                0.48193,                0.96913,             0.00097629,             0.00097629,             0.00097629
                     35,                0.45982,                0.53751,                 1.0051,                0.97199,                0.98924,                0.98399,                 0.8969,                0.45475,                0.49366,                0.99046,             0.00096215,             0.00096215,             0.00096215
                     36,                0.47599,                0.53905,                 1.0204,                0.92782,                0.98032,                0.97423,                0.88796,                0.44197,                 0.4545,                 0.9491,               0.000948,               0.000948,               0.000948
                     37,                 0.4671,                0.52537,                  1.026,                0.97612,                0.98244,                0.98534,                0.90271,                0.46334,                0.41946,                0.99008,             0.00093385,             0.00093385,             0.00093385
                     38,                0.45303,                0.48614,                 1.0361,                0.97691,                0.97536,                0.97598,                0.89531,                0.42462,                0.46978,                0.97845,              0.0009197,              0.0009197,              0.0009197
                     39,                0.45975,                0.48229,                0.99554,                0.97008,                0.97932,                0.98268,                0.88418,                0.46806,                0.49723,                0.99828,             0.00090556,             0.00090556,             0.00090556
                     40,                0.47039,                0.50204,                 1.0269,                0.97855,                0.98946,                 0.9876,                0.94001,                0.37684,                0.40272,                0.86617,             0.00089141,             0.00089141,             0.00089141
                     41,                0.46514,                 0.4824,                  1.015,                0.98146,                0.98952,                0.98598,                0.93112,                0.37609,                0.43743,                0.90176,             0.00087726,             0.00087726,             0.00087726
                     42,                0.47252,                0.49011,                 1.0289,                0.97977,                0.93978,                0.96906,                0.89668,                0.42698,                0.50737,                0.93856,             0.00086312,             0.00086312,             0.00086312
                     43,                0.46589,                0.44941,                 1.0332,                0.96999,                 0.9623,                0.98111,                0.87655,                0.49684,                0.55756,                 1.0067,             0.00084897,             0.00084897,             0.00084897
                     44,                0.45609,                0.48959,                 1.0051,                0.97233,                0.97245,                0.98558,                 0.8668,                0.50228,                0.45427,                 1.0644,             0.00083482,             0.00083482,             0.00083482
                     45,                0.40556,                0.46717,                 1.0008,                0.98609,                0.96742,                0.98739,                0.90324,                0.44546,                0.42712,                 1.0019,             0.00082067,             0.00082067,             0.00082067
                     46,                0.42395,                0.46248,                 1.0028,                0.99181,                0.97932,                0.98904,                 0.8944,                0.39211,                0.39182,                  0.954,             0.00080653,             0.00080653,             0.00080653
                     47,                0.41474,                0.45733,                 0.9893,                0.97349,                0.99123,                0.98798,                 0.9075,                0.39976,                0.41072,                0.95341,             0.00079238,             0.00079238,             0.00079238
                     48,                0.41828,                0.43105,                0.98794,                0.97411,                 0.9818,                0.98863,                0.90685,                0.42956,                0.43656,                 0.9574,             0.00077823,             0.00077823,             0.00077823
                     49,                0.38804,                0.42601,                0.96879,                0.97313,                0.99123,                0.98753,                0.93098,                0.36873,                0.38208,                 0.9176,             0.00076409,             0.00076409,             0.00076409
                     50,                0.44297,                0.45529,                  1.037,                0.96958,                0.98006,                0.98803,                0.91892,                0.39567,                0.41671,                0.92532,             0.00074994,             0.00074994,             0.00074994
                     51,                0.39589,                0.42619,                0.97951,                0.95335,                0.97932,                0.98788,                0.93345,                 0.3605,                0.40903,                0.87137,             0.00073579,             0.00073579,             0.00073579
                     52,                0.38972,                0.42233,                0.97571,                0.97609,                0.97932,                0.98893,                0.94954,                0.33668,                0.38797,                0.85526,             0.00072164,             0.00072164,             0.00072164
                     53,                0.37377,                 0.4183,                0.99285,                0.97997,                 0.9774,                0.98953,                0.93721,                0.33164,                0.35426,                0.85323,              0.0007075,              0.0007075,              0.0007075
                     54,                0.36564,                0.39633,                0.97701,                 0.9701,                0.98778,                 0.9889,                0.93984,                0.33346,                0.35352,                0.85132,             0.00069335,             0.00069335,             0.00069335
                     55,                0.37756,                0.40917,                0.97704,                0.97498,                0.99123,                0.98869,                0.94259,                0.33457,                0.37697,                 0.8569,              0.0006792,              0.0006792,              0.0006792
                     56,                0.40038,                 0.4293,                 0.9891,                0.97104,                0.99123,                0.98924,                0.94588,                0.32018,                0.35924,                0.83019,             0.00066506,             0.00066506,             0.00066506
                     57,                0.37877,                0.38839,                0.98045,                0.97687,                0.98969,                0.98893,                0.96071,                0.31586,                0.36355,                0.83822,             0.00065091,             0.00065091,             0.00065091
                     58,                0.40846,                0.41696,                0.98404,                0.97894,                0.97932,                0.98834,                0.95221,                0.31014,                0.35793,                0.83308,             0.00063676,             0.00063676,             0.00063676
                     59,                0.36672,                0.39186,                0.96776,                0.98552,                0.99123,                 0.9886,                0.93845,                0.31131,                0.35475,                0.83816,             0.00062262,             0.00062262,             0.00062262
                     60,                0.38694,                0.40143,                0.98586,                0.99195,                0.99123,                0.98871,                0.94079,                0.33567,                0.36849,                0.83717,             0.00060847,             0.00060847,             0.00060847
                     61,                0.45415,                0.44432,                 1.0872,                0.99082,                0.98719,                0.98849,                0.95134,                0.30826,                 0.3467,                 0.8301,             0.00059432,             0.00059432,             0.00059432
                     62,                0.35984,                 0.3642,                0.96028,                0.98945,                0.99009,                0.98903,                0.95722,                0.31709,                0.35671,                 0.8348,             0.00058017,             0.00058017,             0.00058017
                     63,                 0.3812,                  0.409,                 1.0034,                0.96576,                0.99123,                0.98954,                0.95707,                0.31826,                0.34786,                0.84583,             0.00056603,             0.00056603,             0.00056603
                     64,                0.35063,                  0.366,                0.94459,                0.96755,                0.99123,                0.98815,                0.95505,                  0.325,                0.34833,                0.84096,             0.00055188,             0.00055188,             0.00055188
                     65,                0.36474,                0.36956,                0.96517,                0.97557,                0.99041,                0.99052,                0.94298,                0.34011,                0.33773,                0.85844,             0.00053773,             0.00053773,             0.00053773
                     66,                0.33682,                0.35632,                0.96609,                0.96423,                0.99123,                 0.9888,                 0.9376,                  0.323,                0.33907,                0.85803,             0.00052359,             0.00052359,             0.00052359
                     67,                0.35699,                0.40665,                0.97594,                0.97984,                0.99055,                0.98914,                0.95055,                0.30409,                0.33564,                0.84172,             0.00050944,             0.00050944,             0.00050944
                     68,                0.36006,                0.36915,                 0.9748,                0.98858,                0.98746,                0.98926,                0.94235,                0.32644,                0.32639,                0.84731,             0.00049529,             0.00049529,             0.00049529
                     69,                0.33402,                0.35074,                0.94375,                0.99274,                0.97705,                0.98929,                0.93852,                0.33416,                0.32722,                0.85261,             0.00048114,             0.00048114,             0.00048114
                     70,                0.33142,                0.37994,                 0.9542,                0.97556,                0.98246,                0.98987,                0.95935,                0.28078,                0.29408,                0.81643,               0.000467,               0.000467,               0.000467
                     71,                0.34708,                0.34995,                0.96788,                0.97206,                0.99123,                0.98839,                0.95871,                0.28431,                 0.3172,                0.83242,             0.00045285,             0.00045285,             0.00045285
                     72,                0.31895,                  0.339,                0.94586,                0.98725,                0.99123,                0.98873,                 0.9494,                0.32996,                0.33456,                0.85845,              0.0004387,              0.0004387,              0.0004387
                     73,                0.34789,                0.36372,                 0.9661,                0.99618,                 0.9753,                0.98947,                0.95609,                 0.2857,                0.30336,                0.83565,             0.00042456,             0.00042456,             0.00042456
                     74,                0.33645,                0.35716,                0.96416,                0.98854,                0.97548,                0.98991,                0.96754,                0.25584,                0.27176,                0.81403,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.3299,                0.34879,                0.94834,                0.98006,                0.97497,                0.98944,                0.96726,                0.25622,                0.29476,                0.81544,             0.00039626,             0.00039626,             0.00039626
                     76,                0.33783,                0.34904,                0.97882,                0.98024,                0.97821,                0.99014,                0.96279,                0.25897,                0.31433,                0.81404,             0.00038211,             0.00038211,             0.00038211
                     77,                0.31063,                0.34044,                0.93403,                0.96887,                0.99123,                0.98899,                0.96264,                0.26573,                0.32128,                0.82074,             0.00036797,             0.00036797,             0.00036797
                     78,                0.33114,                0.36096,                0.98004,                0.97083,                0.99123,                0.98756,                 0.9575,                0.26614,                0.33183,                0.81925,             0.00035382,             0.00035382,             0.00035382
                     79,                0.34209,                0.36883,                0.94989,                0.96963,                0.99123,                0.98821,                0.96422,                0.25688,                0.32669,                0.80993,             0.00033967,             0.00033967,             0.00033967
                     80,                0.29191,                0.31676,                0.92827,                0.97525,                0.99123,                0.98797,                 0.9708,                0.24198,                0.30905,                0.80086,             0.00032553,             0.00032553,             0.00032553
                     81,                0.29194,                0.31133,                 0.9305,                0.98364,                0.99123,                0.98849,                0.96819,                0.25062,                0.30677,                0.80038,             0.00031138,             0.00031138,             0.00031138
                     82,                0.30217,                0.33892,                0.95101,                0.98358,                0.99123,                0.98939,                0.96197,                0.25535,                0.29107,                 0.8021,             0.00029723,             0.00029723,             0.00029723
                     83,                0.29255,                0.31781,                0.91763,                0.97924,                0.99123,                0.98954,                 0.9613,                0.24581,                0.28837,                 0.7971,             0.00028308,             0.00028308,             0.00028308
                     84,                0.30978,                0.33412,                0.94017,                0.99018,                0.97932,                0.98911,                0.96354,                0.23787,                0.29022,                0.78486,             0.00026894,             0.00026894,             0.00026894
                     85,                0.28459,                0.30778,                0.92313,                0.98749,                0.97932,                 0.9886,                0.96454,                 0.2301,                0.29942,                0.78044,             0.00025479,             0.00025479,             0.00025479
                     86,                0.28764,                0.30938,                0.94252,                0.98386,                0.97932,                0.98866,                0.96669,                0.22617,                0.28678,                0.78405,             0.00024064,             0.00024064,             0.00024064
                     87,                0.27908,                0.32888,                0.92941,                0.98552,                0.97932,                0.98877,                0.96707,                0.22327,                0.28493,                0.79223,              0.0002265,              0.0002265,              0.0002265
                     88,                0.28701,                0.31046,                0.93843,                 0.9851,                0.97932,                 0.9887,                0.96705,                0.23344,                0.28396,                0.79705,             0.00021235,             0.00021235,             0.00021235
                     89,                0.27535,                 0.3143,                0.94348,                0.98977,                0.97932,                0.98866,                0.96934,                0.24182,                0.29552,                0.80308,              0.0001982,              0.0001982,              0.0001982
                     90,                0.28354,                0.30304,                0.94039,                0.98678,                0.97932,                 0.9887,                0.96811,                0.25377,                0.30205,                0.80766,             0.00018406,             0.00018406,             0.00018406
                     91,                 0.2313,                0.29491,                0.87209,                0.98729,                0.97932,                0.98949,                0.97002,                0.23778,                0.29968,                0.79833,             0.00016991,             0.00016991,             0.00016991
                     92,                0.23526,                0.28643,                0.91015,                0.98635,                0.97932,                0.99025,                0.96801,                0.23775,                0.29323,                0.80004,             0.00015576,             0.00015576,             0.00015576
                     93,                  0.251,                0.32464,                0.89787,                0.98328,                0.97932,                 0.9908,                0.97193,                0.23985,                0.28174,                0.80521,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.2181,                0.29317,                0.87924,                0.98613,                0.97932,                0.99017,                0.97137,                0.23146,                 0.2632,                0.80102,             0.00012747,             0.00012747,             0.00012747
                     95,                0.21711,                0.27739,                0.87988,                0.98593,                0.97932,                0.98941,                 0.9701,                0.21433,                0.26012,                0.79156,             0.00011332,             0.00011332,             0.00011332
                     96,                0.20969,                0.25577,                 0.8831,                0.98431,                0.97932,                0.98932,                0.97317,                0.21164,                0.27144,                0.78853,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 0.2229,                0.27227,                 0.9007,                0.98359,                0.97932,                 0.9889,                0.97148,                0.21766,                0.27446,                0.79126,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.21302,                0.26647,                0.88731,                0.98336,                0.97932,                0.98928,                0.97014,                0.21317,                0.27025,                0.78934,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.21612,                 0.2503,                0.88429,                0.98606,                0.97854,                0.98978,                0.97295,                0.19756,                0.27975,                0.77331,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.20885,                0.25358,                0.87277,                0.98552,                0.97932,                0.98969,                0.97331,                0.19059,                0.27668,                0.76857,             4.2584e-05,             4.2584e-05,             4.2584e-05
